année,Dépenses,Recettes,Résultat de répartition
2015,41 797 ,41 007,-790
2016,42 540 ,41 603,-937
2017,43 165 ,42 212,-953
2018,43 687 ,42 870,-817
2019,44 719 ,43 634,-1 085 
2020,45 240 ,44 281,-959
2021,47 168 ,45 307,-1 861 
2022,47 774 ,46 038,-1 736 
2023,49 800 ,47 035,-2 765 
2024,50 512 ,47 776,-2 736 
2025,53 052 ,48 865,-4 187 
2026,53 858 ,49 618,-4 240 
2027,56 386 ,50 695,-5 691 
2028,57 326 ,51 474,-5 852 
2029,60 023 ,52 612,-7 411 
2030,60 926 ,53 415,-7 511 
2031,63 517 ,54 573,-8 944 
2032,64 192 ,55 354,-8 838 
2033,66 822 ,56 537,-10 285 
2034,67 328 ,57 302,-10 026 
2035,69 798 ,58 452,-11 346 
