code,EN,FR,DE,IT,PT,AR,RU,ES,JA,ZH
main.title,,L'âge des Suisses vs étrangers,,,,,,,,
descr,,"Proportion de l'âge de la population résidante permanente suisse selon la nationalité en 2014. L'âge médian des étrangers vivant en Suisse est de 36 ans, tandis que celle des Suisses est de 44 ans. ",,,,,,,,
source,Source,source,Quelle,Fonte,fonte,المصدر,Источник,Fuente,出典,来源
source.name,,Office fédéral de la statistique,,,,,,,,
source.link,https://www.pxweb.bfs.admin.ch/Selection.aspx?px_language=fr&px_db=px-x-0102010000_101&px_tableid=px-x-0102010000_101%5Cpx-x-0102010000_101.px&px_type=PX,https://www.pxweb.bfs.admin.ch/Selection.aspx?px_language=fr&px_db=px-x-0102010000_101&px_tableid=px-x-0102010000_101%5Cpx-x-0102010000_101.px&px_type=PX,https://www.pxweb.bfs.admin.ch/Selection.aspx?px_language=fr&px_db=px-x-0102010000_101&px_tableid=px-x-0102010000_101%5Cpx-x-0102010000_101.px&px_type=PX,https://www.pxweb.bfs.admin.ch/Selection.aspx?px_language=fr&px_db=px-x-0102010000_101&px_tableid=px-x-0102010000_101%5Cpx-x-0102010000_101.px&px_type=PX,https://www.pxweb.bfs.admin.ch/Selection.aspx?px_language=fr&px_db=px-x-0102010000_101&px_tableid=px-x-0102010000_101%5Cpx-x-0102010000_101.px&px_type=PX,https://www.pxweb.bfs.admin.ch/Selection.aspx?px_language=fr&px_db=px-x-0102010000_101&px_tableid=px-x-0102010000_101%5Cpx-x-0102010000_101.px&px_type=PX,https://www.pxweb.bfs.admin.ch/Selection.aspx?px_language=fr&px_db=px-x-0102010000_101&px_tableid=px-x-0102010000_101%5Cpx-x-0102010000_101.px&px_type=PX,https://www.pxweb.bfs.admin.ch/Selection.aspx?px_language=fr&px_db=px-x-0102010000_101&px_tableid=px-x-0102010000_101%5Cpx-x-0102010000_101.px&px_type=PX,https://www.pxweb.bfs.admin.ch/Selection.aspx?px_language=fr&px_db=px-x-0102010000_101&px_tableid=px-x-0102010000_101%5Cpx-x-0102010000_101.px&px_type=PX,https://www.pxweb.bfs.admin.ch/Selection.aspx?px_language=fr&px_db=px-x-0102010000_101&px_tableid=px-x-0102010000_101%5Cpx-x-0102010000_101.px&px_type=PX
legend.title,,Nationalités,,,,,,,,
legend.key,,Cliquez pour masquer ou afficher,,,,,,,,
suisse.cat,,Suisses,,,,,,,,
etranger.cat,,Etrangers,,,,,,,,
ans,,ans,,,,,,,,
tooltip,,ont cet âge ou moins,,,,,,,,
