code,EN,FR,DE,IT,PT,AR,RU,ES,JA,ZH
main.title,Budget for the state pension fund,Budget de la prévoyance vieillesse (AVS),Budget Alters- und Hinterlassenenversicherung (AHV) ,Budget della previdenza vecchiaia (AVS),Orçamento da aposentadoria mínima (AVS),ميزانية التوفير التقاعدي ,Бюджет государственного пенсионного фонда (AHV),Presupuesto del seguro estatal para el retiro,スイスの老齢・遺族年金制度の財政状況,养老和遗属保险预算
descr,In billions of Swiss francs. Projections are based on the current retirement funding system (without reform),En milliards de francs suisses. Les prévisions sont basées sur le régime actuel de la prévoyance viellesse (sans réforme).,In Milliarden Schweizer Franken. Die Prognosen basieren auf dem gegenwärtigen System der Altersvorsorge (ohne Reform).,In miliardi di franchi svizzeri. Le previsioni sono basate sul regime attuale della previdenza vecchiaia (senza la riforma proposta dal governo) ,Em bilhões de francos suíços. As previsões são baseadas no sistema atual (sem reforma),بمليارات الفرنكات السويسرية. تستند التوقعات إلى نظام الحالي للتوفير التقاعدي (بدون إصلاح),В миллиардах шв. франков. Прогнозы базируются на сегодняшнем порядке работы пенсионного страхования (без реформы),"En miles de millones de francos suizos. Las previsiones, en base al régimen actual para la renta tras el retiro laboral (sin las modificaciones de la reforma propuesta por el Gobierno de Suiza)",財政状況の予測は現行の年金制度に基づいている（年金制度改革は考慮せず）。グラフ縦軸の単位：１０億フラン,以10亿瑞郎计，该预测建立在当前养老和遗属保险(无政策改革)的现状基础上。
source,Source,source,Quelle,Fonte,Fonte,المصدر,Источник,Fuente,出典,来源
source.name,Federal Social Insurance Office (FSIO),Office fédéral des assurances sociales (OFAS),Bundesamt für Sozialversicherungen (BSV),Ufficio federale delle assicurazioni sociali (UFAS),Secretaria federal de previdência social (OFAS),المكتب الفدرالي للتأمينات الإجتماعية ,Федеральное ведомство социального страхования (BSV),Oficina Federal de Seguros Sociales ,連邦内務省社会保険局,瑞士两棒社会保险办公室(OFAS)
source.link,"http://www.bsv.admin.ch/dokumentation/zahlen/00093/00424/index.html?lang=fr&download=NHzLpZeg7t,lnp6I0NTU042l2Z6ln1ae2IZn4Z2qZpnO2Yuq2Z6gpJCDfYJ,fGym162epYbg2c_JjKbNoKSn6A--","http://www.bsv.admin.ch/dokumentation/zahlen/00093/00424/index.html?lang=fr&download=NHzLpZeg7t,lnp6I0NTU042l2Z6ln1ae2IZn4Z2qZpnO2Yuq2Z6gpJCDfYJ,fGym162epYbg2c_JjKbNoKSn6A--","http://www.bsv.admin.ch/dokumentation/zahlen/00093/00424/index.html?lang=fr&download=NHzLpZeg7t,lnp6I0NTU042l2Z6ln1ae2IZn4Z2qZpnO2Yuq2Z6gpJCDfYJ,fGym162epYbg2c_JjKbNoKSn6A--","http://www.bsv.admin.ch/dokumentation/zahlen/00093/00424/index.html?lang=fr&download=NHzLpZeg7t,lnp6I0NTU042l2Z6ln1ae2IZn4Z2qZpnO2Yuq2Z6gpJCDfYJ,fGym162epYbg2c_JjKbNoKSn6A--","http://www.bsv.admin.ch/dokumentation/zahlen/00093/00424/index.html?lang=fr&download=NHzLpZeg7t,lnp6I0NTU042l2Z6ln1ae2IZn4Z2qZpnO2Yuq2Z6gpJCDfYJ,fGym162epYbg2c_JjKbNoKSn6A--","http://www.bsv.admin.ch/dokumentation/zahlen/00093/00424/index.html?lang=fr&download=NHzLpZeg7t,lnp6I0NTU042l2Z6ln1ae2IZn4Z2qZpnO2Yuq2Z6gpJCDfYJ,fGym162epYbg2c_JjKbNoKSn6A--","http://www.bsv.admin.ch/dokumentation/zahlen/00093/00424/index.html?lang=fr&download=NHzLpZeg7t,lnp6I0NTU042l2Z6ln1ae2IZn4Z2qZpnO2Yuq2Z6gpJCDfYJ,fGym162epYbg2c_JjKbNoKSn6A--","http://www.bsv.admin.ch/dokumentation/zahlen/00093/00424/index.html?lang=fr&download=NHzLpZeg7t,lnp6I0NTU042l2Z6ln1ae2IZn4Z2qZpnO2Yuq2Z6gpJCDfYJ,fGym162epYbg2c_JjKbNoKSn6A--","http://www.bsv.admin.ch/dokumentation/zahlen/00093/00424/index.html?lang=fr&download=NHzLpZeg7t,lnp6I0NTU042l2Z6ln1ae2IZn4Z2qZpnO2Yuq2Z6gpJCDfYJ,fGym162epYbg2c_JjKbNoKSn6A--","http://www.bsv.admin.ch/dokumentation/zahlen/00093/00424/index.html?lang=fr&download=NHzLpZeg7t,lnp6I0NTU042l2Z6ln1ae2IZn4Z2qZpnO2Yuq2Z6gpJCDfYJ,fGym162epYbg2c_JjKbNoKSn6A--"
legend.key,Click to show or hide,Cliquez pour masquer ou afficher,Anklicken zum Aus- oder Einblenden,Clicca per nascondere o mostrare,Clique para ocultar ou ver,اضغط للتغطية أو للإظهار,"Кликните, чтобы показать или скрыть",Pulsar para mostrar u ocultar,クリックで表示・非表示の切り替えができます,点击打开或收起
forecast,Predictions,Prévisions,Prognosen,Previsioni,Previsões,توقعات ,Прогнозы,Previsiones,予測,预测
depenses,Expenditures,Dépenses,Ausgaben,Uscite,Despesas,مصاريف ,расходы,Gastos,支出,"支出
"
recettes,Revenues,Recettes,Einnahmen,Entrate,Receitas,مداخيل ,поступления,Ingresos,収入,收入
res,Profit/loss,Résultat de répartition,Gewinn/Verlust,Risultato di ripartizione,Lucros/prejuízos,نتيجة التوزيع ,доходы/потери,Ganancias/Pérdidas,利益／損失,收支结果
millionsCHF,millions of Swiss francs,millions CHF,Millionen CHF,milioni di CHF,Milhões de francos suíços,ملايين الفرنكات ,миллионов шв. франков,millones de francos suizos,百万フラン,百万瑞郎
