"year","Dépenses","Recettes","Résultat de répartition"
1948,126.821024,580.660094,450.978816
1949,147.209255,612.09848,449.065407
1950,170.289617,637.412424,448.163717
1951,220.619313,699.130893,440.402512
1952,249.878587,744.114947,437.675906
1953,267.590641,793.175467,462.400777
1954,383.21541,798.638696,349.497616
1955,383.21541,853.098611,377.177894
1956,492.778015,913.805597,311.913423
1957,627.277429,964.631021,215.506134
1958,665.146242,975.219957,176.793766
1959,700.381012,1055.270662,203.944194
1960,733.38917,1119.10797,224.836166
1961,861.163315,1243.599327,205.345033
1962,998.293626,1352.690711,166.488602
1963,1043.400461,1489.120369,237.170006
1964,1610.09668,1792.67578,-25.025181
1965,1683.529857,1927.335462,21.006904
1966,1741.255376,2031.053714,54.596087
1967,1991.66774,2174.029152,-67.51624
1968,2066.491571,2277.86864,-46.619594
1969,2897.158272,3112.649449,-53.421115
1970,2999.871243,3433.98409,141.093965
1971,3406.84739,3948.637548,224.725382
1972,3808.99428,4424.295704,274.860937
1973,6486.803637,7138.642117,280.552658
1974,7271.400182,8064.680241,373.477386
1975,8612.129033,8443.352894,-605.634133
1976,8996.473231,8780.832989,-639.102673
1977,9683.767813,9044.401446,-1046.808026
1978,9918.267296,9487.221004,-788.988117
1979,10097.329363,9910.165595,-515.188479
1980,10725.552831,10895.45363,-163.91167
1981,10894.935946,11640.457546,379.10441
1982,12384.966945,12947.665038,163.524578
1983,12578.901616,13469.210811,463.057648
1984,14176.941473,14258.61593,-356.880894
1985,14463.942359,14745.980562,-172.906381
1986,15374.065586,15801.012783,-23.569083
1987,15709.821206,16513.093193,332.595411
1988,16631.075697,17562.492117,464.12305
1989,16960.9896,18675.595592,1164.452517
1990,18327.665003,20354.899255,1374.815864
1991,19688.175721,22033.528498,1561.170573
1992,21206.050069,23159.702211,1048.424624
1993,23046.586513,23856.373956,-188.946801
1994,23362.609753,23923.406647,-458.498498
1995,24502.824111,24511.65253,-1037.313259
1996,24816.76265,24788.181408,-1094.736209
1997,25802.524456,25219.125882,-2041.340776
1998,26714.905546,25321.34563,-2357.40591
1999,27386.966888,27207.2336,-1071.50057
2000,27721.899415,28791.908972,188.96
2001,29081.319635,29619.600493,281.67
2002,29094.528136,28903.266535,590.31
2003,29980.986435,31957.902355,517.29
2004,30423.021148,32387.040673,688.08
2005,31327.153061,33711.797931,548.28
2006,31682.25283,34389.775132,1213.57
2007,33302.841434,34801.349146,1208.76
2008,33877.951444,31591.973964,2045.38
2009,35786.632738,39703.561436,1086.55
2010,36604.056835,38494.859675,643.35
2011,38052.705341,39040.7672,321.28
2012,38797.675313,40824.018194,260.5
2013,39975.939434,40883.529235,13.55
2014,40866.330043,42573.516497,-319.83
2014,40866,40546,-320
2015,41797,41007,-790
2016,42540,41603,-937
2017,43165,42212,-953
2018,43687,42870,-817
2019,44891,46361,1470
2020,45447,47704,2258
2021,47344,48771,1427
2022,47846,49554,1708
2023,49726,50576,849
2024,50288,51350,1062
2025,52650,52450,-200
2026,53269,53244,-25
2027,55710,55708,-2
2028,56593,56929,335
2029,59221,58115,-1106
2030,60086,59000,-1087
2031,62595,60208,-2386
2032,63221,61076,-2145
2033,65760,62307,-3453
2034,66272,63170,-3102
2035,68707,64380,-4327
